ATM_ID,Location,Latitude,Longitude,Area_Type,City,Monthly_Transactions,Avg_Withdrawal_Amount,ATM_Status,Last_Used_Days_Ago
ATM00000,Hinjewadi,18.5911,73.7389,IT Hub,Pune,3069,2424,Active,118
ATM00001,Aundh,18.5579,73.8077,Residential,Pune,117,2935,Active,26
ATM00002,Swargate,18.5018,73.8636,Commercial,Pune,608,3173,Active,21
ATM00003,Hadapsar,18.5089,73.9235,Residential,Pune,2158,3607,Active,40
ATM00004,Hinjewadi,18.5911,73.7389,Residential,Pune,1180,4280,Active,51
ATM00005,Camp,18.5167,73.8567,Mixed,Pune,1805,3092,Active,10
ATM00006,Aundh,18.5579,73.8077,Mixed,Pune,1553,3887,Active,43
ATM00007,Yerwada,18.5626,73.877,IT Hub,Pune,3568,2550,Active,44
ATM00008,Yerwada,18.5626,73.877,Residential,Pune,2687,4159,Active,56
ATM00009,Aundh,18.5579,73.8077,IT Hub,Pune,1200,2353,Active,3
ATM00010,Camp,18.5167,73.8567,Commercial,Pune,0,3389,Active,31
ATM00011,Hadapsar,18.5089,73.9235,IT Hub,Pune,859,3735,Active,95
ATM00012,Kothrud,18.5074,73.8077,Mixed,Pune,3924,3367,Active,76
ATM00013,Hadapsar,18.5089,73.9235,Residential,Pune,0,3416,Active,2
ATM00014,Shivaji Nagar,18.53,73.85,Mixed,Pune,169,1350,Active,6
ATM00015,Camp,18.5167,73.8567,Mixed,Pune,243,2050,Active,76
ATM00016,Kothrud,18.5074,73.8077,IT Hub,Pune,0,3252,Active,32
ATM00017,Hadapsar,18.5089,73.9235,Mixed,Pune,0,2611,Active,2
ATM00018,Camp,18.5167,73.8567,IT Hub,Pune,2788,4082,Active,41
ATM00019,Shivaji Nagar,18.53,73.85,Commercial,Pune,1004,2416,Active,1
ATM00020,Hinjewadi,18.5911,73.7389,Mixed,Pune,1423,2023,Active,69
ATM00021,Hinjewadi,18.5911,73.7389,Residential,Pune,2139,3306,Active,34
ATM00022,Viman Nagar,18.5679,73.9143,Residential,Pune,667,3144,Active,28
ATM00023,Swargate,18.5018,73.8636,Residential,Pune,426,1300,Active,69
ATM00024,Yerwada,18.5626,73.877,IT Hub,Pune,3906,1895,Active,57
ATM00025,Aundh,18.5579,73.8077,Mixed,Pune,1995,2126,Active,11
ATM00026,Viman Nagar,18.5679,73.9143,Residential,Pune,319,2890,Active,15
ATM00027,Swargate,18.5018,73.8636,Residential,Pune,359,3725,Active,108
ATM00028,Camp,18.5167,73.8567,Commercial,Pune,0,2549,Active,156
ATM00029,Kothrud,18.5074,73.8077,Commercial,Pune,353,3785,Active,11
ATM00030,Aundh,18.5579,73.8077,Residential,Pune,18,2896,Active,13
ATM00031,Kothrud,18.5074,73.8077,IT Hub,Pune,0,3535,Active,47
ATM00032,Hinjewadi,18.5911,73.7389,IT Hub,Pune,185,3587,Active,19
ATM00033,Kothrud,18.5074,73.8077,IT Hub,Pune,1953,2890,Active,53
ATM00034,Kothrud,18.5074,73.8077,Residential,Pune,2233,3798,Active,0
ATM00035,Aundh,18.5579,73.8077,Residential,Pune,1731,2930,Active,7
ATM00036,Shivaji Nagar,18.53,73.85,Mixed,Pune,0,2098,Active,35
ATM00037,Camp,18.5167,73.8567,Commercial,Pune,362,3095,Active,13
ATM00038,Kothrud,18.5074,73.8077,Mixed,Pune,1701,2788,Active,0
ATM00039,Shivaji Nagar,18.53,73.85,Commercial,Pune,2778,3723,Active,3
ATM00040,Shivaji Nagar,18.53,73.85,Mixed,Pune,127,2937,Active,21
ATM00041,Kothrud,18.5074,73.8077,Commercial,Pune,1992,4047,Active,101
ATM00042,Viman Nagar,18.5679,73.9143,Mixed,Pune,1312,3035,Active,24
ATM00043,Viman Nagar,18.5679,73.9143,Commercial,Pune,867,3637,Active,16
ATM00044,Kothrud,18.5074,73.8077,IT Hub,Pune,2603,1684,Active,24
ATM00045,Camp,18.5167,73.8567,IT Hub,Pune,317,2847,Active,5
ATM00046,Aundh,18.5579,73.8077,Mixed,Pune,470,3963,Active,20
ATM00047,Kothrud,18.5074,73.8077,IT Hub,Pune,0,3617,Active,6
ATM00048,Viman Nagar,18.5679,73.9143,Mixed,Pune,903,2396,Active,86
ATM00049,Kothrud,18.5074,73.8077,IT Hub,Pune,0,3493,Active,23
ATM00050,Swargate,18.5018,73.8636,Residential,Pune,0,2031,Active,7
ATM00051,Aundh,18.5579,73.8077,IT Hub,Pune,163,4363,Active,22
ATM00052,Viman Nagar,18.5679,73.9143,Mixed,Pune,4544,1989,Active,32
ATM00053,Camp,18.5167,73.8567,Commercial,Pune,3557,2561,Active,31
ATM00054,Shivaji Nagar,18.53,73.85,Residential,Pune,1279,3719,Active,1
ATM00055,Yerwada,18.5626,73.877,Commercial,Pune,2855,3984,Active,17
ATM00056,Baner,18.559,73.7862,IT Hub,Pune,2834,2035,Active,9
ATM00057,Yerwada,18.5626,73.877,Commercial,Pune,0,4583,Active,41
ATM00058,Yerwada,18.5626,73.877,Mixed,Pune,2769,3308,Active,8
ATM00059,Shivaji Nagar,18.53,73.85,IT Hub,Pune,2447,3030,Active,19
ATM00060,Swargate,18.5018,73.8636,IT Hub,Pune,4294,2540,Active,1
ATM00061,Hadapsar,18.5089,73.9235,IT Hub,Pune,0,3340,Active,23
ATM00062,Yerwada,18.5626,73.877,Mixed,Pune,433,1721,Active,33
ATM00063,Aundh,18.5579,73.8077,Residential,Pune,0,1114,Active,0
ATM00064,Swargate,18.5018,73.8636,Residential,Pune,0,1825,Active,7
ATM00065,Hadapsar,18.5089,73.9235,Commercial,Pune,1381,2996,Active,4
ATM00066,Yerwada,18.5626,73.877,Mixed,Pune,0,3116,Active,21
ATM00067,Viman Nagar,18.5679,73.9143,Commercial,Pune,0,2730,Active,22
ATM00068,Hinjewadi,18.5911,73.7389,Mixed,Pune,76,2982,Active,57
ATM00069,Camp,18.5167,73.8567,Residential,Pune,0,4065,Active,14
ATM00070,Hinjewadi,18.5911,73.7389,Commercial,Pune,0,3892,Active,15
ATM00071,Yerwada,18.5626,73.877,Commercial,Pune,0,4467,Active,100
ATM00072,Yerwada,18.5626,73.877,Mixed,Pune,0,3320,Active,39
ATM00073,Swargate,18.5018,73.8636,Mixed,Pune,0,3924,Active,12
ATM00074,Hinjewadi,18.5911,73.7389,Mixed,Pune,1734,3292,Active,1
ATM00075,Swargate,18.5018,73.8636,Residential,Pune,3873,2679,Active,45
ATM00076,Swargate,18.5018,73.8636,Residential,Pune,0,4113,Active,20
ATM00077,Swargate,18.5018,73.8636,IT Hub,Pune,1237,3378,Active,48
ATM00078,Swargate,18.5018,73.8636,Commercial,Pune,0,3300,Active,76
ATM00079,Aundh,18.5579,73.8077,Commercial,Pune,801,2798,Active,58
ATM00080,Swargate,18.5018,73.8636,Residential,Pune,282,3229,Active,22
ATM00081,Aundh,18.5579,73.8077,IT Hub,Pune,658,2563,Active,7
ATM00082,Swargate,18.5018,73.8636,IT Hub,Pune,3481,4209,Active,4
ATM00083,Swargate,18.5018,73.8636,Residential,Pune,952,4198,Active,57
ATM00084,Shivaji Nagar,18.53,73.85,IT Hub,Pune,380,5033,Active,30
ATM00085,Yerwada,18.5626,73.877,Residential,Pune,0,3770,Active,7
ATM00086,Kothrud,18.5074,73.8077,Residential,Pune,1456,3641,Active,16
ATM00087,Baner,18.559,73.7862,IT Hub,Pune,2888,1960,Active,25
ATM00088,Baner,18.559,73.7862,Residential,Pune,0,2381,Active,5
ATM00089,Hadapsar,18.5089,73.9235,Commercial,Pune,0,3237,Active,8
ATM00090,Swargate,18.5018,73.8636,Commercial,Pune,0,2062,Active,58
ATM00091,Viman Nagar,18.5679,73.9143,Commercial,Pune,913,2044,Active,7
ATM00092,Swargate,18.5018,73.8636,Mixed,Pune,1991,1961,Active,44
ATM00093,Yerwada,18.5626,73.877,Residential,Pune,2527,3686,Active,12
ATM00094,Viman Nagar,18.5679,73.9143,Residential,Pune,0,3616,Active,75
ATM00095,Shivaji Nagar,18.53,73.85,Mixed,Pune,2488,2333,Active,30
ATM00096,Aundh,18.5579,73.8077,IT Hub,Pune,1659,3650,Active,33
ATM00097,Yerwada,18.5626,73.877,Commercial,Pune,0,3462,Active,7
ATM00098,Swargate,18.5018,73.8636,Mixed,Pune,780,2483,Active,23
ATM00099,Viman Nagar,18.5679,73.9143,Mixed,Pune,0,4042,Active,0
ATM00100,Swargate,18.5018,73.8636,Residential,Pune,1999,2609,Active,23
ATM00101,Baner,18.559,73.7862,Mixed,Pune,0,2584,Active,41
ATM00102,Viman Nagar,18.5679,73.9143,Commercial,Pune,335,2753,Active,10
ATM00103,Camp,18.5167,73.8567,Mixed,Pune,3787,3875,Active,12
ATM00104,Hadapsar,18.5089,73.9235,IT Hub,Pune,42,3376,Active,18
ATM00105,Shivaji Nagar,18.53,73.85,Commercial,Pune,1192,3720,Active,42
ATM00106,Shivaji Nagar,18.53,73.85,Commercial,Pune,2241,3375,Active,0
ATM00107,Hadapsar,18.5089,73.9235,Mixed,Pune,1258,2855,Active,55
ATM00108,Baner,18.559,73.7862,Commercial,Pune,337,3256,Active,4
ATM00109,Baner,18.559,73.7862,Mixed,Pune,0,749,Active,3
ATM00110,Yerwada,18.5626,73.877,Residential,Pune,1234,3474,Active,10
ATM00111,Viman Nagar,18.5679,73.9143,Mixed,Pune,1823,3208,Active,107
ATM00112,Yerwada,18.5626,73.877,IT Hub,Pune,76,4058,Active,4
ATM00113,Hadapsar,18.5089,73.9235,Commercial,Pune,855,3387,Active,2
ATM00114,Swargate,18.5018,73.8636,Mixed,Pune,0,1682,Active,42
ATM00115,Camp,18.5167,73.8567,Residential,Pune,2965,1996,Active,2
ATM00116,Viman Nagar,18.5679,73.9143,IT Hub,Pune,1693,2827,Active,2
ATM00117,Aundh,18.5579,73.8077,IT Hub,Pune,3181,2970,Active,116
ATM00118,Hadapsar,18.5089,73.9235,Mixed,Pune,1957,1635,Active,31
ATM00119,Shivaji Nagar,18.53,73.85,Mixed,Pune,1381,3360,Active,4
ATM00120,Hinjewadi,18.5911,73.7389,Residential,Pune,2779,4299,Active,13
ATM00121,Viman Nagar,18.5679,73.9143,IT Hub,Pune,2160,2770,Active,3
ATM00122,Aundh,18.5579,73.8077,Residential,Pune,3249,2686,Active,39
ATM00123,Yerwada,18.5626,73.877,IT Hub,Pune,924,1932,Active,62
ATM00124,Aundh,18.5579,73.8077,IT Hub,Pune,0,2440,Active,66
ATM00125,Yerwada,18.5626,73.877,Residential,Pune,0,1808,Active,10
ATM00126,Viman Nagar,18.5679,73.9143,Mixed,Pune,277,2398,Active,0
ATM00127,Camp,18.5167,73.8567,Residential,Pune,1717,3230,Active,10
ATM00128,Hinjewadi,18.5911,73.7389,Commercial,Pune,1367,2311,Active,45
ATM00129,Hadapsar,18.5089,73.9235,Residential,Pune,0,3696,Active,34
ATM00130,Hinjewadi,18.5911,73.7389,IT Hub,Pune,0,3601,Active,71
ATM00131,Baner,18.559,73.7862,Mixed,Pune,1774,2416,Active,46
ATM00132,Kothrud,18.5074,73.8077,Mixed,Pune,2578,2741,Active,2
ATM00133,Swargate,18.5018,73.8636,Residential,Pune,1239,1917,Active,36
ATM00134,Hinjewadi,18.5911,73.7389,Mixed,Pune,227,2517,Active,14
ATM00135,Viman Nagar,18.5679,73.9143,Residential,Pune,1906,3130,Active,6
ATM00136,Hadapsar,18.5089,73.9235,Mixed,Pune,1103,3579,Active,89
ATM00137,Hadapsar,18.5089,73.9235,Commercial,Pune,0,3277,Active,85
ATM00138,Aundh,18.5579,73.8077,Mixed,Pune,0,2529,Active,36
ATM00139,Hadapsar,18.5089,73.9235,Residential,Pune,1977,2293,Active,21
ATM00140,Hinjewadi,18.5911,73.7389,Mixed,Pune,0,3667,Active,13
ATM00141,Swargate,18.5018,73.8636,Mixed,Pune,3012,1879,Active,17
ATM00142,Shivaji Nagar,18.53,73.85,IT Hub,Pune,2146,4873,Active,7
ATM00143,Shivaji Nagar,18.53,73.85,Mixed,Pune,0,2286,Active,60
ATM00144,Hadapsar,18.5089,73.9235,Mixed,Pune,1497,2446,Active,21
ATM00145,Hadapsar,18.5089,73.9235,IT Hub,Pune,132,2559,Active,5
ATM00146,Hadapsar,18.5089,73.9235,Commercial,Pune,765,3077,Active,0
